payment_id,order_id,amount,currency,status,method,fee,tax,created_at
pay_rnTP3fAbnFbmOH,order_nKYaXRvj7uff0L,32151.63,INR,captured,upi,643.03,115.75,2026-08-18 23:59:04
pay_h5esM2wleOV911,order_xCZkwPRQeNHpCq,40452.85,INR,captured,wallet,809.06,145.63,2026-08-14 00:22:31
pay_uVdYXye4JSnE2N,order_iiUHUAKw9iEU1j,46306.86,INR,captured,card,926.14,166.71,2026-08-17 14:49:00
pay_dx9G81aSQHqNgA,order_C72qFl41sNLjVH,8419.11,INR,captured,wallet,168.38,30.31,2026-08-15 11:26:00
pay_ub52Ztd26fEeVV,order_hDIq2AnHTmt9OB,39042.01,INR,captured,upi,780.84,140.55,2026-08-15 12:54:37
pay_nuKoneNo41eoPn,order_i6JDWYlgAACTP9,26120.0,INR,refunded,upi,522.4,94.03,2026-08-07 00:24:55
pay_v1plBArp5B1Id9,order_Z850kEnydx9qWC,5371.68,INR,captured,wallet,107.43,19.34,2026-08-18 16:12:54
pay_lndTdtdD5GdF0e,order_e1z6JJcfOJtqPt,21438.87,INR,captured,wallet,428.78,77.18,2026-08-04 18:10:32
pay_OC56aMIgHFivep,order_rBHs8YGPI5g2q3,13647.92,INR,captured,card,272.96,49.13,2026-08-17 07:17:16
pay_rnvQ0Fp4dNZcui,order_8kBRIg6QjcwIAc,37249.63,INR,captured,card,744.99,134.1,2026-08-07 14:39:15
pay_npgW2zMj518Y2b,order_Tu5X1YqWg21nYC,18550.25,INR,captured,upi,371.0,66.78,2026-08-09 16:26:20
pay_blu17rNy8H6h8l,order_7qgATtLFxJpRa5,15606.95,INR,captured,card,312.14,56.19,2026-08-06 09:51:44
pay_A65MPh3FPuRIlP,order_xUkJzZsnWLtBPF,27153.37,INR,refunded,card,543.07,97.75,2026-08-09 20:10:27
pay_fFNuYUPnmbpD0e,order_zNmREpOaUVgAk7,39789.9,INR,captured,card,795.8,143.24,2026-08-16 23:48:30
pay_p0CXP9K63LSFZH,order_3UDqpNVGMrerqt,26138.91,INR,captured,upi,522.78,94.1,2026-08-14 12:42:44
pay_oRRdzHzmA4KR1V,order_xavU07zUHLnnBb,27237.54,INR,captured,card,544.75,98.05,2026-08-04 15:51:54
pay_kChMbyIbNiCdxn,order_uVxUZpfbH9vOWO,17138.41,INR,captured,wallet,342.77,61.7,2026-08-18 13:51:58
pay_0MoDh6CpwL7SWk,order_tJ5J4x6mKZpRsQ,37834.54,INR,captured,card,756.69,136.2,2026-08-05 20:08:09
pay_HPeOaAEAw3CjkG,order_OM5WCZKtp5rBUJ,40373.63,INR,captured,upi,807.47,145.34,2026-08-09 10:15:39
pay_EuEvqrK2IGlozI,order_oDSBbszpPwIv9I,33575.33,INR,captured,netbanking,671.51,120.87,2026-08-01 16:43:08
pay_toStU6QlTrKVL8,order_ZswsRhcds6NUga,17914.62,INR,refunded,wallet,358.29,64.49,2026-08-07 13:49:12
pay_v7p1heEJQjY6fp,order_IzKMWx4sKAJd7g,14574.8,INR,captured,wallet,291.5,52.47,2026-08-11 16:35:30
pay_OjkeaBKsoRRCQ5,order_WMO5AHO4ZektUJ,38255.49,INR,captured,card,765.11,137.72,2026-08-07 10:10:03
pay_QR6FEecAtpf7ZJ,order_69PqcUDO4lKNEf,14786.22,INR,captured,upi,295.72,53.23,2026-08-12 09:02:10
pay_P1uRr6YICtu8zF,order_9OHzlwUMVmI5BR,17724.07,INR,captured,netbanking,354.48,63.81,2026-08-08 19:01:47
pay_jIIf94ChZESFqZ,order_8pIx5F21rWz5FY,6510.59,INR,captured,card,130.21,23.44,2026-08-18 05:28:42
